Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga
,,,,,,,,,,,,,,,,,Focus Business Center,
,,,,,,,,,,,,,,,,,Vista Arboris Mistral Residencial,
,,,,,,,,,Espaço Gourmet,,,Suítes,,,,,Últimas Unidades! Campanário Appartamentti,
,155,786,160000,,,20,1,Setor Industrial,,Posição do Apto,Saan,,0,Comercial,SAAN,0,Saan - Business Center - Sala - Vende - Se,0
,,,,,,,,,Espaço Gourmet,,,,,,,,Rox,
,1568,450,1850000,,168,,2,Florianópolis,Salão de festas,,Beira Mar Norte,Suítes,2,Apartamento,Governador Irineu Bornhausen 3440,2,Apartamento à Venda - em Beira Mar Norte,2
,,,,,,,,,Fitness/Sala de Ginástica,,,,,,,,Edifício Versailles,
,,,,,,,,,Fitness/Sala de Ginástica,,,,,,,,Meridian Vila Izabel,
,,,,,,,,,,,,,,,,,Mid Curitiba - Work,
,,,215000,Breve lançamento,,44,1,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Vila Pirituba,Varanda Gourmet,2,Apartamento,Rua Brigadeiro Godinho dos Santos,0,Apartamento Minha Casa Minha Vida Com Terraço E Lazer Completo!,1
,,400,249000,,80,76,1,Curitiba,Acesso asfaltado,,Sítio Cercado,Suítes,2,Casa,Rua João Cislinsky 48,,"Sobrado Com Terraço, 2 Quartos Sitio Cercado",2
,3259,896,1950000,27,400,191,4,,,,,Playground,3,Apartamento,,3,Apartamento à Venda - no Jardim Guedala,3
,,,,,,,,,,,,,,,,,Vale Das Estrelas - Res. Gemini,
2400,530,180,560000,,,92,3,Jundiaí,,,Jardim Flórida,Suítes,3,Apartamento,Rua Hilda Del Nero Bisquolo 350,,Lindo Apartamento Á Venda Condomínio Naturale,2
,1000,280,300000,4,420,420,0,Santana de Parnaíba,Fitness/Sala de Ginástica,,Alphaville,Guarita,0,Terreno,Alameda Arco Iris,0,Residencial Itahye Oportunidade,0
2300,,,,99,133,133,0,Santo André,,,Jardim,,2,Comercial,Rua Jaguari,1,Comercial para Aluguel - no Jardim,2
,3000,1600,3600000,10,357,440,5,São Paulo,,,Alto da Boa Vista,,3,Casa,R Conde D'eu 1567,3,Aceita Permuta Por Apto De Menor Valor,3
,,,,,,,,,Fitness/Sala de Ginástica,,,,,,,,Bosc Eco Residence,
,700,,520000,,90,90,3,Salvador,Restaurante,,Pituba,Varanda,3,Apartamento,R. Amazonas 388,1,"Apartamento para Venda - Salvador / Ba, Bairro Pituba",1
,2600,5700,3100000,1,,330,6,Salvador,Fitness/Sala de Ginástica,,Barra,Suítes,4,Apartamento,Barra,4,"Apartamento De Luxo no Morro Ipiranga, 4 Suítes, 330 m&sup2; - Vista Deslumbrante",5
16500,5776,1517,,2,551,550,1,Jundiaí,Elevador,,Jardim Flórida,,0,Comercial,RUA HILDA DEL NERO BISQUOLO,0,Locação Jundiaí - Lage Comercial 550 m&sup2; - The One Office Tower,2
,,,,,,,,,Espaço Gourmet,,,,,,,,Duet Merces,
,700,130,700000,2,120,120,2,Cotia,Fitness/Sala de Ginástica,,Granja Viana,Suítes,3,Casa,rua maracatu,1,Casa A Venda Abrokers.,2
,300,700,450000,2,140,75,2,Florianópolis,Salão de festas,,Ingleses,Suítes,2,Apartamento,Rua Morro Das Feiticeiras 0,2,"Apartamento Residencial à Venda, Ingleses, Florianópolis.",1
,505,294,280000,,82,63,2,Praia Grande,,,Campo da Aviação,Mobiliado,2,Apartamento,Rua Ophélia Caccetari Reis 404,1,"Apartamento Residencial à Venda, Campo Da Aviação, Praia Grande.",1
,,,,,,,,,Espaço Gourmet,,,,,,,,Flow Hype Living,
8500,1300,375,,,,136,4,São Paulo,Salão de festas,,Vila Olímpia,Ar condicionado,2,Apartamento,Rua Gomes de Carvalho 674,2,Apartamento para Aluguel - na Vila Olímpia,3
,550,,395000,1,11145,70,2,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Jaguaré,Suítes,3,Apartamento,Avenida Marechal Mario Guedes,1,Apartamento 3 Dormitórios Com Suíte em São Paulo - Sp / Jaguaré,1
