Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga,price_rent_total
,155.0,786.0,160000.0,,,20.0,1.0,Setor Industrial,,Posição do Apto,Saan,,0.0,Comercial,SAAN,0.0,Saan - Business Center - Sala - Vende - Se,0.0,
,1568.0,450.0,1850000.0,,168.0,,2.0,Florianópolis,Salão de festas,,Beira Mar Norte,Suítes,2.0,Apartamento,Governador Irineu Bornhausen 3440,2.0,Apartamento à Venda - em Beira Mar Norte,2.0,
,,,215000.0,Breve lançamento,,44.0,1.0,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Vila Pirituba,Varanda Gourmet,2.0,Apartamento,Rua Brigadeiro Godinho dos Santos,0.0,Apartamento Minha Casa Minha Vida Com Terraço E Lazer Completo!,1.0,
,,400.0,249000.0,,80.0,76.0,1.0,Curitiba,Acesso asfaltado,,Sítio Cercado,Suítes,2.0,Casa,Rua João Cislinsky 48,,"Sobrado Com Terraço, 2 Quartos Sitio Cercado",2.0,
,3259.0,896.0,1950000.0,27,400.0,191.0,4.0,,,,,Playground,3.0,Apartamento,,3.0,Apartamento à Venda - no Jardim Guedala,3.0,
2400.0,530.0,180.0,560000.0,,,92.0,3.0,Jundiaí,,,Jardim Flórida,Suítes,3.0,Apartamento,Rua Hilda Del Nero Bisquolo 350,,Lindo Apartamento Á Venda Condomínio Naturale,2.0,2930.0
,1000.0,280.0,300000.0,4,420.0,420.0,0.0,Santana de Parnaíba,Fitness/Sala de Ginástica,,Alphaville,Guarita,0.0,Terreno,Alameda Arco Iris,0.0,Residencial Itahye Oportunidade,0.0,
2300.0,,,,99,133.0,133.0,0.0,Santo André,,,Jardim,,2.0,Comercial,Rua Jaguari,1.0,Comercial para Aluguel - no Jardim,2.0,2300.0
,3000.0,1600.0,3600000.0,10,357.0,440.0,5.0,São Paulo,,,Alto da Boa Vista,,3.0,Casa,R Conde D'eu 1567,3.0,Aceita Permuta Por Apto De Menor Valor,3.0,
,700.0,,520000.0,,90.0,90.0,3.0,Salvador,Restaurante,,Pituba,Varanda,3.0,Apartamento,R. Amazonas 388,1.0,"Apartamento para Venda - Salvador / Ba, Bairro Pituba",1.0,
,2600.0,5700.0,3100000.0,1,,330.0,6.0,Salvador,Fitness/Sala de Ginástica,,Barra,Suítes,4.0,Apartamento,Barra,4.0,"Apartamento De Luxo no Morro Ipiranga, 4 Suítes, 330 m&sup2; - Vista Deslumbrante",5.0,
16500.0,5776.0,1517.0,,2,551.0,550.0,1.0,Jundiaí,Elevador,,Jardim Flórida,,0.0,Comercial,RUA HILDA DEL NERO BISQUOLO,0.0,Locação Jundiaí - Lage Comercial 550 m&sup2; - The One Office Tower,2.0,22276.0
,700.0,130.0,700000.0,2,120.0,120.0,2.0,Cotia,Fitness/Sala de Ginástica,,Granja Viana,Suítes,3.0,Casa,rua maracatu,1.0,Casa A Venda Abrokers.,2.0,
,300.0,700.0,450000.0,2,140.0,75.0,2.0,Florianópolis,Salão de festas,,Ingleses,Suítes,2.0,Apartamento,Rua Morro Das Feiticeiras 0,2.0,"Apartamento Residencial à Venda, Ingleses, Florianópolis.",1.0,
,505.0,294.0,280000.0,,82.0,63.0,2.0,Praia Grande,,,Campo da Aviação,Mobiliado,2.0,Apartamento,Rua Ophélia Caccetari Reis 404,1.0,"Apartamento Residencial à Venda, Campo Da Aviação, Praia Grande.",1.0,
8500.0,1300.0,375.0,,,,136.0,4.0,São Paulo,Salão de festas,,Vila Olímpia,Ar condicionado,2.0,Apartamento,Rua Gomes de Carvalho 674,2.0,Apartamento para Aluguel - na Vila Olímpia,3.0,9800.0
,550.0,,395000.0,1,11145.0,70.0,2.0,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Jaguaré,Suítes,3.0,Apartamento,Avenida Marechal Mario Guedes,1.0,Apartamento 3 Dormitórios Com Suíte em São Paulo - Sp / Jaguaré,1.0,
,,,2800000.0,Breve lançamento,117.0,117.0,4.0,Rio de Janeiro,Espaço Gourmet,Andares,Ipanema,Suítes,3.0,Apartamento,barão de jaguaripe 242,3.0,Oportunidade em Ipanema - Apenas 3 Aptos - 3 Suítes no Coração Do Bairro!,2.0,
,,,240000.0,,1000.0,330.0,2.0,Pinhalzinho,,,Centro,Churrasqueira,3.0,Rural,Rua Variante Americo Pedro Benedetti,,"Chácara Rural à Venda, Zona Rural, Pinhalzinho.",,
,350.0,550.0,280000.0,35,60.0,60.0,2.0,,Elevador,,,Armário embutido,2.0,Apartamento,,0.0,A Melhor Localização E Preço Da Região.,0.0,
,,,560000.0,,145.0,97.0,2.0,Itapema,,,Meia Praia,Mobiliado,3.0,Apartamento,Rua 303 160,1.0,Germano,1.0,
,,,1800000.0,Breve lançamento,412.0,203.0,6.0,Brasília,Espaço Gourmet,,Noroeste,Suítes,3.0,Apartamento,SQNW 107,3.0,"Cobertura, 3 Suites, Vazado, 3 Vagas Soltas, Deposito no Subsolo E Dce",3.0,
,,,3300000.0,,,335.0,5.0,São Paulo,,,Jardim Anália Franco,Suítes,4.0,Apartamento,Rua Cândido Larceda 241,4.0,Edifício Bauhaus | Anália Franco,5.0,
,490.0,,907330.0,1,,70.0,2.0,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Vila Madalena,Suítes,2.0,Apartamento,"Rua João Moura, 2370",1.0,Poesia Vila Madalena - Apartamentos Novos De 2 E 3 Dorms,1.0,
,1642.0,4000.0,1690000.0,,155.0,155.0,2.0,Rio de Janeiro,Portão Eletrônico,,Laranjeiras,Churrasqueira,4.0,Apartamento,Rua das Laranjeiras,1.0,Ótima Cobertura Duplex em Laranjeiras,2.0,
,,,459150.0,1,71.0,71.0,3.0,São Paulo,,Aceita FGTS,Quinta da Paineira,,3.0,Apartamento,"Rua Maria Daffré, 155",1.0,Attuale Com 3 Dormitórios E Terraço Gourmet,1.0,
,801.0,2638.0,1420000.0,1,274.0,172.0,3.0,Curitiba,Espaço Gourmet,,Centro,Suítes,2.0,Apartamento,Coronel Menna Barreto Monclaro 498,2.0,Linda Cobertura no Ilha De Manhattan,2.0,
,,,224990.0,1,95.0,61.0,2.0,Curitiba,Fitness/Sala de Ginástica,Aceita FGTS,Portão,,3.0,Apartamento,"R. João Bettega,",1.0,João Bettega Home Club - Apartamento Com 3 Dormitórios E 1 Vaga Coberta,1.0,
,,1713.0,17980000.0,,716.0,716.0,5.0,,,,,Piso frio,4.0,Casa,,4.0,Casa à Venda - no Jardim Paulista,4.0,
,,161.0,630000.0,,137.0,194.0,3.0,São Paulo,,,Parque Mandaqui,Churrasqueira,3.0,Casa,R ARTHUR MAZZETTI,1.0,"Sobrado Próximo Da Av Engenheiro Caetano Alvares, Aceita Permuta Por Apto De Menor Valor.",2.0,
7500.0,800.0,200.0,,,,50.0,1.0,São Paulo,Salão de festas,,Higienópolis,Armário embutido,2.0,Apartamento,Rua Piauí 305,0.0,Apartamento para Aluguel - em Higienópolis,2.0,8300.0
,390.0,70.0,290000.0,,75.0,75.0,2.0,Paulínia,Espaço Gourmet,,Centro,Churrasqueira,2.0,Apartamento,Sob Consulta,1.0,Apartamento à Venda - no Centro,1.0,
,,,500000.0,,,84.0,3.0,Camaçari,,,Barra de Jacuipe,,3.0,Casa,Rua Divino Espirito Santo,3.0,Bela Casa em Condomínio Com 3 Suítes.,2.0,
,,,680000.0,18,120.0,100.0,2.0,Itapema,Sistema de alarme,,Meia Praia,Mobiliado,3.0,Apartamento,Rua 222 115,1.0,"Apartamento Residencial para Venda E Locação, Meia Praia, Itapema.",1.0,
,,,374000.0,,,87.0,3.0,Praia Grande,Fitness/Sala de Ginástica,,Vila Guilhermina,Suítes,2.0,Apartamento,Rua Ipanema 472,2.0,"Apartamento A Venda, Vila Guilhermina, Praia Grande. Due Fratelli Residence",2.0,
1250.0,400.0,10.0,,5,35.0,28.0,1.0,Curitiba,Salão de festas,Andares,Centro,Mobiliado,1.0,Apartamento,Rua Barão do Rio Branco,0.0,100% Mobiliado E Central - Com Wifi - Ao Lado Shopping Estação,0.0,1650.0
2800.0,1.0,,,5,25000.0,83.0,2.0,Santos,Espaço Gourmet,,Marapé,Permite animais,3.0,Apartamento,AV DOUTOR MOURA RIBEIRO 125,1.0,Oportunidade Única!,1.0,2801.0
,11400.0,32000.0,4780000.0,,618.0,618.0,7.0,Rio de Janeiro,,,Centro,,,Comercial,Rodrigo Silva,,Comercial à Venda - no Centro,0.0,
,356.0,2890.0,1600000.0,,268.0,300.0,4.0,Mogi das Cruzes,Salão de festas,,Centro,Suítes,3.0,Casa,Avenida Expedicionário José Barca (Res.Bella Cittá) 43,3.0,Maravilhosa Casa Com Piscina E 3 Suítes no Condomínio Bella Citta,5.0,
,220.0,800.0,199900.0,Em construção,48.0,47.0,1.0,Osasco,Fitness/Sala de Ginástica,Aceita FGTS,Padroeira,Piso frio,2.0,Apartamento,Rua Achiles Beline,0.0,Apartamentos 2 Dormitórios Minha Casa Minha Vida!,1.0,
,700.0,263.0,900000.0,2,104.0,104.0,1.0,Rio de Janeiro,Interfone,,Recreio dos Bandeirantes,Cerca,3.0,Apartamento,Rua Clóvis Salgado,1.0,Apartamento à Venda - no Recreio Dos Bandeirantes,2.0,
,306.0,,190000.0,,,43.0,1.0,São Paulo,,Andares,Bela Vista,Área de serviço,2.0,Apartamento,AVENIDA NOVE DE JULHO 481,,700 m Do Metrô Anhangabaú (9 Minutos A Pé).,,
,,,309000.0,3,102.0,60.0,2.0,Curitiba,,,Hauer,Suítes,2.0,Apartamento,Rua Waldemar Kost 1397,1.0,"Apartamento Residencial à Venda, Hauer, Curitiba.",1.0,
