,Aluguel,Condominio,IPTU,Venda,age_imovel,area_total,area_util,banheiro,city,commonareas,diverseareas,neigghborhood,privateareas,quarto,saletype,street,suite,title,vaga,price_rent_total
0,,,100,580000,,85,85,2,Niterói,,,Icaraí,Esgoto,2,Casa,Rua Presidente Backer 184,,"Casa Residencial à Venda, Icaraí, Niterói.",,
1,,,1300,689000000,1,3750,3750,7,Santa Isabel,Espaço Gourmet,,Centro,Suítes,14,Rural,"Rua Suzano, 480",2,Chácara / Sitio Com 2 Piscinas Com Prainha E Com 2 Casas em Santa Isabel - Sp,12,
2,,,,426900,1,,71,2,Curitiba,Espaço Gourmet,Andares,Santa Felicidade,Suítes,3,Apartamento,"Rua Tobias de Macedo Júnior, 1138",1,Promoção à Vista! Apartamento 3 Quartos Ao Lado Do Parque Barigui,2,
3,,668,650,5800000,2,1200,700,8,Vinhedo,Pista de cooper,,Condomínio Estância Marambaia,Playground,5,Casa,Sob Consulta 0,5,Casa à Venda em Condomínio Estância Marambaia,4,
4,,,1500,780000,,240,139,3,Itapema,,,Meia Praia,Suítes,3,Apartamento,Rua 294,3,Premiatto Residence,2,
5,6500,2500,5000,2790000,18,2000,370,8,Vinhedo,Campo de futebol,,Centro,Mobiliado,4,Casa,Sob Consulta 25,4,Casa Á Venda E para Aluguel em Condomínio Morada Do Sol,6,65002500
6,,,,499000,,12000,250,3,,Forno de pizza,,,Churrasqueira,2,Rural,,,"Chácara para Venda - Bragança Paulista / Sp, Bairro Agudo Dos Frias",,
7,,,,233700,,42,42,1,Guarulhos,,,Vila Galvão,Churrasqueira,2,Apartamento,Rua Francisco Pereira 452,,"Apartamento Novo 2 Dorms, Lazer Completo, em Fase De Acabamento, A Poucos m Do Lago Dos Patos",1,
8,900,398,54,,,,50,1,Niterói,Salão de festas,,Fonseca,Armário embutido,2,Apartamento,Rua Lopes Cunha 145,0,Apartamento para Aluguel - em Fonseca,1,900398
9,,445,,242000,,119,85,1,Curitiba,,,Centro Cívico,Churrasqueira,2,Apartamento,Rua Alberto Folloni,1,"Apartamento Residencial à Venda, Ahú, Curitiba - Ap1173.",1,
10,,,50,330000,,85,102,2,Curitiba,Acesso asfaltado,,Pinheirinho,Suítes,3,Casa,Rua João Ferreira da Rocha 303,1,Sobrado 03 Quartos Fino Acabamento,2,
11,,850,180,696740,4,123,123,3,São Bernardo do Campo,Salão de festas,,Baeta Neves,Churrasqueira,3,Apartamento,Avenida Pereira Barreto 200,,Apartamento à Venda - em Baeta Neves,2,
12,2400,427,859,,,,61,2,Águas Claras,,,Aguas Sul,Churrasqueira,2,Apartamento,Avenida das Araucárias 4400,1,"Apartamento, 02 Quartos, Via Enseada Home Club, Águas Claras.",2,2400427
13,,600,100,542500,,43,43,2,São Paulo,Salão de festas,,Pinheiros,Bicicletário,1,Apartamento,Rua Alves Guimarães 1120,,Apartamento à Venda - em Pinheiros,1,
14,,950,333,1220000,,180,131,2,São Paulo,,,Cerqueira César,Suítes,3,Apartamento,Rua Cristiano Viana 1161,,"Apartamento Residencial à Venda, Cerqueira César, São Paulo - Ap0743.",2,
15,1700,880,290,,,96,96,1,São Paulo,Fitness/Sala de Ginástica,,Santana,Escritório,3,Apartamento,NOVA CANTAREIRA,1,Apartamento para Aluguel - em Santana,2,1700880
16,1100,100,40,,16,117,110,1,Curitiba,Interfone,Andares,Santa Cândida,Esgoto,3,Casa,ESTRADA GUILHERME WEIGERT 930,,Sobrado Santa Candida Locação,1,1100100
17,5000,,505,1100000,,300,300,4,São Paulo,,,Jardim Santa Terezinha,,3,Comercial,Rua Abreu Sampaio,3,Comercial em Santa Teresinha - São Paulo,4,
18,,,,2500000,,9668,736,,Campina Grande do Sul,Acesso asfaltado,,Centro,Esgoto,0,Comercial,Rua Marcos Nicolau Strapassoni 118,,"Barracão Comercial à Venda, Bonança Sítios De Recreio, Campina Grande Do Sul.",,
19,,,,500000,,31000,31000,4,Quatro Barras,,,Palmitalzinho,Churrasqueira,2,Rural,Estrada Velha Graciosa 0,,"Chácara Residencial à Venda, Campininha, Quatro Barras.",7,
20,,810,320,980000,9,110,110,3,São Paulo,Forno de pizza,,Tatuapé,Suítes,4,Apartamento,R PROFESSOR PEDREIRA DE FREITAS,1,Apartamento Sensacional no Tatuapé,3,
21,,710,,550000,8,,60,2,Brasília,Fitness/Sala de Ginástica,Aceita FGTS,Centro de Atividades,Suítes,2,Apartamento,CA 5 (Centro de Atividades),1,"Ca 05 - Ed. San Raphael! De Canto, Reformado!",1,
22,,,,300150,4,51,34,1,Curitiba,Fitness/Sala de Ginástica,,Vila Izabel,Lavanderia,1,Apartamento,Republica Argentina 1037,0,Studio no Água Verde.,0,
23,,,,140000,1,60,60,2,Queimados,,Aceita FGTS,Vila do Tinguá,,2,Casa,rua divino alcides,0,Casa Duplex Com 2 Quartos Fanchen Queimados Rj,1,
24,1380,320,102,,15,71,50,1,Curitiba,Acesso asfaltado,,Batel,Esgoto,0,Comercial,Avenida Sete de Setembro,,"Conjunto Comercial para Locação, Batel, Curitiba.",,1380320
25,,600,250,450000,,532,532,0,Barueri,,,Aldeia da Serra,,,Terreno,Procion,,Terreno Plano Aldeia Da Serra Morada Das Estrelas,0,
26,2500,600,900,265000,3,27,27,1,Brasília,Fitness/Sala de Ginástica,Andares,Asa Norte,Suítes,1,Apartamento,SHN QUADRA 1,1,Teste Antes: Fusion E Vision 100% Mobiliados!,1,2500600
27,,750,,439000,1,70,70,1,Rio de Janeiro,Fitness/Sala de Ginástica,Aceita FGTS,Recreio dos Bandeirantes,Suítes,2,Apartamento,Rua Nilton Santos 1.850,1,Apartamento 2 Quartos Recreio - Pontal Oceânico - Maui - Calçada,1,
28,,900,200,689999,6,122,122,3,São Paulo,Fitness/Sala de Ginástica,Aceita FGTS,Rio Pequeno,Suítes,3,Apartamento,Avenida Escola Politécnica,3,- Collinas Parque Dos Príncipes! Oportunidade!,2,
29,,,,290000,,200,130,2,São José dos Pinhais,Sistema de alarme,,Afonso Pena,Copa,3,Casa,Rua Olívio Setim 7,1,Casa em Sjpinhais Com Fácil Acesso para Ctba,4,
30,,,,796000,Breve lançamento,2041,2041,,Campo Largo,,,Vila Ferrari II,,0,Comercial,AGOSTINHO MOCELIN 700,,Comercial à Venda - na Vila Ferrari II,,
31,,,,390000,,925,200,3,,Poço artesiano,,,Cerca,2,Rural,,1,Belissima Chacara em Socorro 925 m&sup2;,5,
32,,,,249724,,54,41,1,Curitiba,Salão de festas,,Alto da XV,Churrasqueira,2,Apartamento,Rua Schiller 352,,Apartamento à Venda em Curitiba.,,
33,,,,100000,,,,1,,,,,,2,Rural,,,Rural à Venda - nas Chácaras Reunidas Igarapés,1,
34,,135,,180000,,85,85,2,,,,,,2,Apartamento,,1,Apartamento à Venda - no Bom Jesus,1,
35,,,150,630000,,144,177,3,São Caetano do Sul,,,Cerâmica,Quintal,3,Casa,Geovanina Borges Duarte,1,Casa à Venda - em Cerâmica,2,
36,,450,100,509500,Breve lançamento,58,58,2,São Paulo,Espaço Gourmet,,Várzea da Barra Funda,Aceita Financiamento,2,Apartamento,AVENIDA MARQUÊS DE SÃO VICENTE 341,1,Apartamento - Várzea Da Barra Funda,1,
37,,,1400,650000,5,248,251,2,Pontal do Paraná,,Aceita FGTS,Pontal do Sul,Suítes,3,Casa,"Av. Dep. Aníbal Khury, 19809",2,Sobrado Lindo De Frente para O Mar,2,
38,6000,,786,,,,300,5,São Paulo,,,Campo Belo,Armário embutido,4,Casa,Rua Bernardino de Campos 1148,2,Casa para Aluguel - no Campo Belo,0,
39,,,,340000,2,67,67,1,Porto Belo,,,Pereque,Suítes,3,Casa,RUA MARIO WALENDOWSKY,3,Sobrado Com 03 Suítes em Porto Belo,4,
40,,,,1300000,Breve lançamento,280,144,5,Balneário Camboriú,Espaço Gourmet,Andares,Centro,Suítes,4,Apartamento,RUA 3700 415,4,Oportunidade Alto Padrão,3,
